disaster_family,tier,episode_index,normalized_reward
fire,easy,1,0.5453029984961006
fire,easy,2,0.5232286769078267
fire,easy,3,0.5249116354432604
fire,easy,4,0.5340645033076263
fire,easy,5,0.5427124146109972
fire,easy,6,0.5508143106467744
fire,easy,7,0.6694705572778236
fire,easy,8,0.5566802997639209
fire,easy,9,2.1583960414492087
fire,easy,10,0.5169359454024824
fire,easy,11,0.5988641807177025
fire,easy,12,0.524741116934571
fire,easy,13,0.6078257214528549
fire,easy,14,0.5921258598749878
fire,easy,15,2.120234197180447
fire,easy,16,2.0739286673964195
fire,easy,17,0.4619319882581625
fire,easy,18,0.46965584530303106
fire,easy,19,2.049064703096276
fire,easy,20,2.010240273287392
fire,easy,21,0.4184726841972004
fire,easy,22,0.42152207344365955
fire,easy,23,0.4294420381599571
fire,easy,24,0.4320651742784616
fire,easy,25,0.4392566468310404
fire,easy,26,0.4415232369534452
fire,easy,27,0.44816691453191004
fire,easy,28,0.4501359472251196
fire,easy,29,0.4521167791183256
fire,easy,30,0.45787025542197246
fire,easy,31,0.4596005820230291
fire,easy,32,0.46491572869714703
fire,easy,33,0.47005514250390745
fire,easy,34,0.47502397092527904
fire,easy,35,0.47982778799035586
fire,easy,36,0.4844724058101386
fire,easy,37,0.4889637370852169
fire,easy,38,0.4933076953497457
fire,easy,39,0.4975101232676409
fire,easy,40,0.5827244120476812
fire,easy,41,0.5752144301678853
fire,easy,42,0.5889773346894177
fire,easy,43,0.5023163788770499
fire,easy,44,0.5059255763982642
fire,easy,45,0.6055614409311162
fire,easy,46,0.509461007508915
fire,easy,47,0.5127811574878325
fire,easy,48,0.6201981357657436
fire,easy,49,0.5922880050829458
fire,easy,50,2.102398091438539
fire,medium,1,-2.394738077199096
fire,medium,2,-2.1952346532072435
fire,medium,3,-2.3947383521003243
fire,medium,4,-0.3986719784998233
fire,medium,5,-2.3947381270302794
fire,medium,6,-2.3947381270302794
fire,medium,7,-2.3947383521002625
fire,medium,8,-0.5465123271573655
fire,medium,9,-0.34545771671858905
fire,medium,10,-0.29009163415381434
fire,medium,11,-0.18614056722138794
fire,medium,12,-0.10600430866493005
fire,medium,13,0.020319557312108105
fire,medium,14,0.041346522730466906
fire,medium,15,0.017305749814232607
fire,medium,16,0.03914956496117816
fire,medium,17,0.00968584823273444
fire,medium,18,1.6461988088979556
fire,medium,19,0.03276067441972208
fire,medium,20,0.004136265850425813
fire,medium,21,0.03629016691770648
fire,medium,22,0.16676130761541363
fire,medium,23,1.6748477054165072
fire,medium,24,0.09074756850881327
fire,medium,25,1.6330014657501377
fire,medium,26,-0.0029654909292607945
fire,medium,27,0.02214324570749593
fire,medium,28,0.10866958000000215
fire,medium,29,0.12778895158744963
fire,medium,30,0.05447276946606072
fire,medium,31,1.6798902154312758
fire,medium,32,0.09370799866998059
fire,medium,33,3.1896441934807602
fire,medium,34,1.5614154391795254
fire,medium,35,-0.027629669329988227
fire,medium,36,1.5381648223350979
